param_damping,param_convergence_iter,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
0.8999999999999999,24,0.6676070921291598,1.1611040199021336,0.7943466320339276,0.047370624451418104,3.177842458089193
0.8999999999999999,12,0.6676070921291598,1.1611040199021336,0.7943466320339276,0.047370624451418104,3.132295846939087
0.8999999999999999,18,0.6676070921291598,1.1611040199021336,0.7943466320339276,0.047370624451418104,3.147921403249105
0.5,24,0.48557477615307454,0.43105475060451237,0.23500190922541414,0.7906676686292973,3.3640104134877524
0.5,12,0.48557477615307454,0.43105475060451237,0.23500190922541414,0.7906676686292973,3.342733144760132
0.5,6,0.48557477615307454,0.43105475060451237,0.23500190922541414,0.7906676686292973,3.317479054133097
0.6,24,0.48461560417435146,0.43027900169111777,0.23468793291847795,0.7888798779134587,3.397930939992269
0.6,6,0.48461560417435146,0.43027900169111777,0.23468793291847795,0.7888798779134587,3.3078269163767495
0.6,12,0.48461560417435146,0.43027900169111777,0.23468793291847795,0.7888798779134587,3.308160940806071
0.7,30,0.48339603451328234,0.42969493659952795,0.23508737883897357,0.7854057881013454,3.3636781374613443
0.7,12,0.48339603451328234,0.42969493659952795,0.23508737883897357,0.7854057881013454,3.3151419957478843
0.7,24,0.48339603451328234,0.42969493659952795,0.23508737883897357,0.7854057881013454,3.255967060724894
0.7,6,0.48339603451328234,0.42969493659952795,0.23508737883897357,0.7854057881013454,3.2619499365488687
0.6,1,0.426098685844908,0.5858012969305583,0.5647458181498284,0.12774894245433727,1.6309743722279866
0.7999999999999999,12,0.4099881941694828,0.373668814386636,0.21915536534351823,0.6371404027782939,3.202774922053019
0.7999999999999999,18,0.4099881941694828,0.373668814386636,0.21915536534351823,0.6371404027782939,3.2144124507904053
0.7999999999999999,24,0.4099881941694828,0.373668814386636,0.21915536534351823,0.6371404027782939,3.221059799194336
0.7999999999999999,30,0.4099881941694828,0.373668814386636,0.21915536534351823,0.6371404027782939,3.2177465756734214
0.7999999999999999,1,0.3169308847644896,0.3107403470968974,0.5371899803865064,0.10286232681006496,2.1392828623453775
0.7,1,0.24100976055668624,0.2343335343193161,0.30633613026991674,0.18235961708082588,1.8350958824157715
