param_bandwidth,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
1.3817328792158323,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,845.5775887966156
1.4011722166593412,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,915.8774664402008
1.4084096964828243,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,980.5875282287598
1.4142123768423436,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,1024.8466455936432
2.8027635846001706,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,693.0532837708791
7.006908961500427,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,587.3294578393301
14.013817923000854,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,471.8586935202281
2.8578454480750213,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,667.3339399496714
5.705690896150043,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,667.165604352951
8.553536344225064,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,569.9399824937185
11.401381792300086,0.7500000000000001,1.25,1.0,1.5603199371065453e-16,498.69099227587384
0.14013817923000854,0.5548846189568624,0.4775096115826503,0.24099322824861152,0.9461510170393251,27.14911373456319
0.01,0.5548787039630975,0.4775007706230878,0.24098432422687957,0.9461510170393251,22.755140622456867
